station,station_name,valid(UTC),tmpf,dwpf,sknt,drct,vis1_coeff,precip
ATL,ATLANTA INTL ARPT,2015-01-04 12:00,60,59,7,198,0.363,0,
DFW,DALLAS/FT WORTH,2015-01-04 12:00,32,25,20,341,0.105,0,
DEN,DENVER INTNL ARPT,2015-01-04 12:00,-3,-7,4,220,0.111,0,
LAX,LOS ANGELES INTL,2015-01-04 12:00,45,40,2,97,0.286,0,
DEN,DENVER INTNL ARPT,2015-01-04 13:00,1,-3,7,234,0.125,0,
DFW,DALLAS/FT WORTH,2015-01-04 13:00,29,20,19,348,0.076,0,
ATL,ATLANTA INTL ARPT,2015-01-04 13:00,60,59,7,181,0.291,0,
ORD,CHICAGO O HARE,2015-01-04 13:00,31,29,8,311,0.563,0,
LAX,LOS ANGELES INTL,2015-01-04 13:00,45,40,3,65,0.267,0,
DEN,DENVER INTNL ARPT,2015-01-04 14:00,2,-2,6,268,0.139,0,
LAX,LOS ANGELES INTL,2015-01-04 14:00,44,39,3,93,0.285,0,
ATL,ATLANTA INTL ARPT,2015-01-04 14:00,60,59,8,173,0.416,0,
DFW,DALLAS/FT WORTH,2015-01-04 14:00,28,19,21,343,0.074,0,
ORD,CHICAGO O HARE,2015-01-04 14:00,31,28,13,310,0.322,0,
ORD,CHICAGO O HARE,2015-01-04 15:00,30,27,13,325,0.977,0,
ATL,ATLANTA INTL ARPT,2015-01-04 15:00,61,59,8,215,0.075,0,
DFW,DALLAS/FT WORTH,2015-01-04 15:00,28,17,22,339,0.075,0,
DEN,DENVER INTNL ARPT,2015-01-04 15:00,2,-1,7,230,0.142,0,
LAX,LOS ANGELES INTL,2015-01-04 15:00,47,39,1,65,0.224,0,
LAX,LOS ANGELES INTL,2015-01-04 16:00,47,39,3,60,0.238,0,
DFW,DALLAS/FT WORTH,2015-01-04 16:00,29,14,19,329,0.062,0,
ORD,CHICAGO O HARE,2015-01-04 16:00,27,23,16,315,1.417,0,
ATL,ATLANTA INTL ARPT,2015-01-04 16:00,61,59,6,246,0.274,0,
DEN,DENVER INTNL ARPT,2015-01-04 16:00,4,1,3,154,0.149,0,
DFW,DALLAS/FT WORTH,2015-01-04 17:00,30,15,18,334,0.064,0,
LAX,LOS ANGELES INTL,2015-01-04 17:00,54,39,2,351,0.196,0,
DEN,DENVER INTNL ARPT,2015-01-04 17:00,7,2,2,199,0.123,0,
ATL,ATLANTA INTL ARPT,2015-01-04 17:00,61,58,10,241,0.066,0,
ORD,CHICAGO O HARE,2015-01-04 17:00,25,21,15,315,1.045,0,
ATL,ATLANTA INTL ARPT,2015-01-04 18:00,63,57,6,245,0.068,0,
ORD,CHICAGO O HARE,2015-01-04 18:00,23,19,14,325,0.69,0,
DFW,DALLAS/FT WORTH,2015-01-04 18:00,32,16,19,348,0.052,0,
LAX,LOS ANGELES INTL,2015-01-04 18:00,58,42,2,311,0.157,0,
DEN,DENVER INTNL ARPT,2015-01-04 18:00,8,4,2,201,0.127,0,
DEN,DENVER INTNL ARPT,2015-01-04 19:00,12,6,2,328,0.136,0,
ATL,ATLANTA INTL ARPT,2015-01-04 19:00,64,54,12,239,0.078,0,
DFW,DALLAS/FT WORTH,2015-01-04 19:00,35,17,17,341,0.059,0,
LAX,LOS ANGELES INTL,2015-01-04 19:00,60,45,5,265,0.151,0,
ORD,CHICAGO O HARE,2015-01-04 19:00,21,17,18,334,2.352,0,
ORD,CHICAGO O HARE,2015-01-04 20:00,20,14,13,312,0.216,0,
DFW,DALLAS/FT WORTH,2015-01-04 20:00,36,17,13,339,0.054,0,
DEN,DENVER INTNL ARPT,2015-01-04 20:00,14,7,3,245,0.138,0,
ATL,ATLANTA INTL ARPT,2015-01-04 20:00,62,52,11,246,0.072,0,
LAX,LOS ANGELES INTL,2015-01-04 20:00,60,44,4,261,0.161,0,
ATL,ATLANTA INTL ARPT,2015-01-04 21:00,59,41,9,260,0.053,0,
DEN,DENVER INTNL ARPT,2015-01-04 21:00,14,6,2,5,0.14,0,
ORD,CHICAGO O HARE,2015-01-04 21:00,19,12,15,307,0.229,0,
DFW,DALLAS/FT WORTH,2015-01-04 21:00,37,18,8,337,0.051,0,
LAX,LOS ANGELES INTL,2015-01-04 21:00,61,47,9,272,0.157,0,
ATL,ATLANTA INTL ARPT,2015-01-04 22:00,57,42,8,263,0.06,0,
DEN,DENVER INTNL ARPT,2015-01-04 22:00,15,7,3,273,0.153,0,
ORD,CHICAGO O HARE,2015-01-04 22:00,16,7,17,316,0.161,0,
LAX,LOS ANGELES INTL,2015-01-04 22:00,60,49,11,276,0.149,0,
DFW,DALLAS/FT WORTH,2015-01-04 22:00,37,18,7,342,0.05,0,
DFW,DALLAS/FT WORTH,2015-01-04 23:00,37,18,10,344,0.05,0,
LAX,LOS ANGELES INTL,2015-01-04 23:00,60,44,6,267,0.104,0,
DEN,DENVER INTNL ARPT,2015-01-04 23:00,15,9,5,180,0.153,0,
ORD,CHICAGO O HARE,2015-01-04 23:00,13,5,16,291,0.079,0,
ATL,ATLANTA INTL ARPT,2015-01-04 23:00,54,41,15,303,0.059,0,
DEN,DENVER INTNL ARPT,2015-01-05 00:00,23,12,4,230,0.125,0,
DFW,DALLAS/FT WORTH,2015-01-05 00:00,34,19,8,334,0.05,0,
LAX,LOS ANGELES INTL,2015-01-05 00:00,60,50,9,264,0.108,0,
ATL,ATLANTA INTL ARPT,2015-01-05 00:00,50,38,12,289,0.057,0,
ORD,CHICAGO O HARE,2015-01-05 00:00,12,3,12,300,0.078,0,
DFW,DALLAS/FT WORTH,2015-01-05 01:00,33,19,8,342,0.05,0,
DEN,DENVER INTNL ARPT,2015-01-05 01:00,29,11,4,267,0.078,0,
ORD,CHICAGO O HARE,2015-01-05 01:00,11,0,15,301,0.108,0,
ATL,ATLANTA INTL ARPT,2015-01-05 01:00,47,36,18,309,0.062,0,
LAX,LOS ANGELES INTL,2015-01-05 01:00,58,53,8,260,0.122,0,
DEN,DENVER INTNL ARPT,2015-01-05 02:00,35,13,4,339,0.079,0,
ATL,ATLANTA INTL ARPT,2015-01-05 02:00,46,36,11,289,0.064,0,
ORD,CHICAGO O HARE,2015-01-05 02:00,10,-2,16,293,0.081,0,
DFW,DALLAS/FT WORTH,2015-01-05 02:00,31,19,7,348,0.053,0,
LAX,LOS ANGELES INTL,2015-01-05 02:00,57,52,7,265,0.122,0,
LAX,LOS ANGELES INTL,2015-01-05 03:00,56,52,7,262,0.128,0,
DEN,DENVER INTNL ARPT,2015-01-05 03:00,28,12,7,190,0.069,0,
ATL,ATLANTA INTL ARPT,2015-01-05 03:00,45,35,13,290,0.068,0,
ORD,CHICAGO O HARE,2015-01-05 03:00,8,-4,16,297,0.081,0,
DFW,DALLAS/FT WORTH,2015-01-05 03:00,29,20,7,359,0.067,0,
ORD,CHICAGO O HARE,2015-01-05 04:00,6,-5,15,297,0.087,0,
ATL,ATLANTA INTL ARPT,2015-01-05 04:00,44,36,14,294,0.068,0,
DFW,DALLAS/FT WORTH,2015-01-05 04:00,30,20,7,9,0.069,0,
DEN,DENVER INTNL ARPT,2015-01-05 04:00,23,12,6,315,0.087,0,
LAX,LOS ANGELES INTL,2015-01-05 04:00,56,53,5,259,0.151,0,
ORD,CHICAGO O HARE,2015-01-05 05:00,4,-6,13,298,0.089,0,
LAX,LOS ANGELES INTL,2015-01-05 05:00,57,53,3,162,0.174,0,
DFW,DALLAS/FT WORTH,2015-01-05 05:00,31,18,10,25,0.05,0,
DEN,DENVER INTNL ARPT,2015-01-05 05:00,21,11,1,27,0.072,0,
ATL,ATLANTA INTL ARPT,2015-01-05 05:00,44,36,15,307,0.067,0,
DFW,DALLAS/FT WORTH,2015-01-05 06:00,29,17,7,20,0.05,0,
LAX,LOS ANGELES INTL,2015-01-05 06:00,53,50,4,54,0.24,0,
DEN,DENVER INTNL ARPT,2015-01-05 06:00,5,0,13,46,0.194,0,
ATL,ATLANTA INTL ARPT,2015-01-05 06:00,43,34,12,311,0.052,0,
ORD,CHICAGO O HARE,2015-01-05 06:00,2,-8,15,316,0.095,0,
ATL,ATLANTA INTL ARPT,2015-01-05 07:00,43,35,13,320,0.056,0,
ORD,CHICAGO O HARE,2015-01-05 07:00,1,-9,13,297,0.089,0,
DEN,DENVER INTNL ARPT,2015-01-05 07:00,-1,-4,7,75,0.23,0,
LAX,LOS ANGELES INTL,2015-01-05 07:00,55,42,8,50,0.18,0,
DFW,DALLAS/FT WORTH,2015-01-05 07:00,27,17,5,30,0.05,0,
LAX,LOS ANGELES INTL,2015-01-05 08:00,57,33,3,38,0.144,0,
DFW,DALLAS/FT WORTH,2015-01-05 08:00,27,16,4,342,0.05,0,
ATL,ATLANTA INTL ARPT,2015-01-05 08:00,42,34,11,325,0.062,0,
DEN,DENVER INTNL ARPT,2015-01-05 08:00,-3,-6,1,11,0.258,0,
ORD,CHICAGO O HARE,2015-01-05 08:00,0,-10,10,284,0.089,0,
LAX,LOS ANGELES INTL,2015-01-05 09:00,59,31,2,360,0.135,0,
DEN,DENVER INTNL ARPT,2015-01-05 09:00,-5,-7,3,203,0.935,0,
DFW,DALLAS/FT WORTH,2015-01-05 09:00,26,17,5,347,0.05,0,
ATL,ATLANTA INTL ARPT,2015-01-05 09:00,41,33,12,325,0.078,0,
ORD,CHICAGO O HARE,2015-01-05 09:00,-1,-10,11,289,0.086,0,
DFW,DALLAS/FT WORTH,2015-01-05 10:00,25,16,4,7,0.05,0,
ORD,CHICAGO O HARE,2015-01-05 10:00,-2,-11,11,286,0.085,0,
LAX,LOS ANGELES INTL,2015-01-05 10:00,51,33,2,59,0.143,0,
DEN,DENVER INTNL ARPT,2015-01-05 10:00,2,-2,12,245,0.277,0,
ATL,ATLANTA INTL ARPT,2015-01-05 10:00,40,30,20,328,0.087,0,
ORD,CHICAGO O HARE,2015-01-05 11:00,-3,-11,9,280,0.092,0,
LAX,LOS ANGELES INTL,2015-01-05 11:00,53,31,8,44,0.125,0,
DEN,DENVER INTNL ARPT,2015-01-05 11:00,4,0,3,293,0.266,0,
DFW,DALLAS/FT WORTH,2015-01-05 11:00,23,15,5,21,0.05,0,
ATL,ATLANTA INTL ARPT,2015-01-05 11:00,39,30,14,322,0.098,0,
DFW,DALLAS/FT WORTH,2015-01-05 12:00,24,15,5,21,0.05,0,
ORD,CHICAGO O HARE,2015-01-05 12:00,-3,-11,10,285,0.096,0,
LAX,LOS ANGELES INTL,2015-01-05 12:00,53,31,4,59,0.124,0,
DEN,DENVER INTNL ARPT,2015-01-05 12:00,8,3,9,253,0.24,0,
ATL,ATLANTA INTL ARPT,2015-01-05 12:00,38,29,14,326,0.11,0,
LAX,LOS ANGELES INTL,2015-01-05 13:00,53,29,3,33,0.11,0,
ATL,ATLANTA INTL ARPT,2015-01-05 13:00,37,28,11,333,0.117,0,
DFW,DALLAS/FT WORTH,2015-01-05 13:00,22,14,5,48,0.05,0,
DEN,DENVER INTNL ARPT,2015-01-05 13:00,8,4,2,327,0.235,0,
ORD,CHICAGO O HARE,2015-01-05 13:00,-3,-10,10,260,0.11,0,
ORD,CHICAGO O HARE,2015-01-05 14:00,-3,-10,9,278,0.115,0,
DEN,DENVER INTNL ARPT,2015-01-05 14:00,8,4,4,197,0.239,0,
LAX,LOS ANGELES INTL,2015-01-05 14:00,53,27,3,43,0.102,0,
ATL,ATLANTA INTL ARPT,2015-01-05 14:00,38,28,13,332,0.134,0,
DFW,DALLAS/FT WORTH,2015-01-05 14:00,25,15,5,57,0.052,0,
LAX,LOS ANGELES INTL,2015-01-05 15:00,58,25,3,12,0.097,0,
ORD,CHICAGO O HARE,2015-01-05 15:00,-2,-9,10,279,0.167,0,
ATL,ATLANTA INTL ARPT,2015-01-05 15:00,39,26,12,325,0.122,0,
DFW,DALLAS/FT WORTH,2015-01-05 15:00,29,15,6,106,0.05,0,
DEN,DENVER INTNL ARPT,2015-01-05 15:00,16,10,10,231,0.177,0,
ORD,CHICAGO O HARE,2015-01-05 16:00,-1,-8,10,267,0.155,0,
DFW,DALLAS/FT WORTH,2015-01-05 16:00,31,13,6,134,0.05,0,
DEN,DENVER INTNL ARPT,2015-01-05 16:00,39,21,9,216,0.062,0,
ATL,ATLANTA INTL ARPT,2015-01-05 16:00,41,26,12,330,0.103,0,
LAX,LOS ANGELES INTL,2015-01-05 16:00,59,25,6,22,0.093,0,
DFW,DALLAS/FT WORTH,2015-01-05 17:00,35,14,6,170,0.05,0,
DEN,DENVER INTNL ARPT,2015-01-05 17:00,44,23,8,285,0.076,0,
LAX,LOS ANGELES INTL,2015-01-05 17:00,64,25,6,4,0.09,0,
ORD,CHICAGO O HARE,2015-01-05 17:00,0,-10,14,268,0.098,0,
ATL,ATLANTA INTL ARPT,2015-01-05 17:00,43,24,12,338,0.094,0,
LAX,LOS ANGELES INTL,2015-01-05 18:00,68,27,6,19,0.088,0,
DFW,DALLAS/FT WORTH,2015-01-05 18:00,38,15,7,149,0.05,0,
ATL,ATLANTA INTL ARPT,2015-01-05 18:00,46,24,12,328,0.079,0,
DEN,DENVER INTNL ARPT,2015-01-05 18:00,49,27,20,259,0.066,0,
ORD,CHICAGO O HARE,2015-01-05 18:00,2,-9,11,257,0.087,0,
LAX,LOS ANGELES INTL,2015-01-05 19:00,72,25,4,5,0.088,0,
DFW,DALLAS/FT WORTH,2015-01-05 19:00,41,17,7,169,0.05,0,
ORD,CHICAGO O HARE,2015-01-05 19:00,2,-8,13,260,0.089,0,
DEN,DENVER INTNL ARPT,2015-01-05 19:00,51,28,23,285,0.063,0,
ATL,ATLANTA INTL ARPT,2015-01-05 19:00,46,21,11,326,0.076,0,
ORD,CHICAGO O HARE,2015-01-05 20:00,2,-8,13,259,0.085,0,
DFW,DALLAS/FT WORTH,2015-01-05 20:00,43,17,10,180,0.05,0,
ATL,ATLANTA INTL ARPT,2015-01-05 20:00,48,22,11,328,0.063,0,
LAX,LOS ANGELES INTL,2015-01-05 20:00,75,25,5,17,0.084,0,
DEN,DENVER INTNL ARPT,2015-01-05 20:00,52,29,16,267,0.071,0,
ORD,CHICAGO O HARE,2015-01-05 21:00,3,-8,9,272,0.086,0,
DEN,DENVER INTNL ARPT,2015-01-05 21:00,51,30,16,264,0.063,0,
ATL,ATLANTA INTL ARPT,2015-01-05 21:00,48,20,10,340,0.055,0,
LAX,LOS ANGELES INTL,2015-01-05 21:00,79,31,1,66,0.083,0,
DFW,DALLAS/FT WORTH,2015-01-05 21:00,45,19,12,172,0.05,0,
DEN,DENVER INTNL ARPT,2015-01-05 22:00,53,31,19,283,0.06,0,
DFW,DALLAS/FT WORTH,2015-01-05 22:00,46,20,12,167,0.05,0,
ORD,CHICAGO O HARE,2015-01-05 22:00,3,-7,6,219,0.092,0,
ATL,ATLANTA INTL ARPT,2015-01-05 22:00,46,18,7,345,0.052,0,
LAX,LOS ANGELES INTL,2015-01-05 22:00,75,42,6,275,0.085,0,
ORD,CHICAGO O HARE,2015-01-05 23:00,3,-6,9,235,0.101,0,
ATL,ATLANTA INTL ARPT,2015-01-05 23:00,42,21,6,327,0.062,0,
LAX,LOS ANGELES INTL,2015-01-05 23:00,75,40,6,250,0.095,0,
DFW,DALLAS/FT WORTH,2015-01-05 23:00,45,22,9,169,0.05,0,
DEN,DENVER INTNL ARPT,2015-01-05 23:00,54,31,26,281,0.058,0,
LAX,LOS ANGELES INTL,2015-01-06 00:00,75,34,3,334,0.088,0,
DEN,DENVER INTNL ARPT,2015-01-06 00:00,54,32,25,271,0.054,0,
ATL,ATLANTA INTL ARPT,2015-01-06 00:00,41,22,8,326,0.069,0,
DFW,DALLAS/FT WORTH,2015-01-06 00:00,40,23,8,159,0.05,0,
ORD,CHICAGO O HARE,2015-01-06 00:00,4,-5,5,212,0.09,0,
DFW,DALLAS/FT WORTH,2015-01-06 01:00,40,24,7,173,0.05,0,
ORD,CHICAGO O HARE,2015-01-06 01:00,5,-3,8,184,0.11,0,
LAX,LOS ANGELES INTL,2015-01-06 01:00,73,32,1,275,0.089,0,
DEN,DENVER INTNL ARPT,2015-01-06 01:00,55,32,24,278,0.053,0,
ATL,ATLANTA INTL ARPT,2015-01-06 01:00,39,22,8,334,0.074,0,
ATL,ATLANTA INTL ARPT,2015-01-06 02:00,38,22,7,350,0.08,0,
LAX,LOS ANGELES INTL,2015-01-06 02:00,70,34,1,356,0.104,0,
DFW,DALLAS/FT WORTH,2015-01-06 02:00,37,25,10,163,0.05,0,
ORD,CHICAGO O HARE,2015-01-06 02:00,5,0,4,233,3.389,0,
DEN,DENVER INTNL ARPT,2015-01-06 02:00,55,32,22,289,0.053,0,
ATL,ATLANTA INTL ARPT,2015-01-06 03:00,39,21,6,15,0.086,0,
LAX,LOS ANGELES INTL,2015-01-06 03:00,69,29,9,356,0.086,0,
DEN,DENVER INTNL ARPT,2015-01-06 03:00,52,33,13,302,0.053,0,
ORD,CHICAGO O HARE,2015-01-06 03:00,5,1,3,258,3.816,0,
DFW,DALLAS/FT WORTH,2015-01-06 03:00,38,26,9,182,0.054,0,
ORD,CHICAGO O HARE,2015-01-06 04:00,6,3,2,215,3.261,0,
ATL,ATLANTA INTL ARPT,2015-01-06 04:00,36,22,3,309,0.094,0,
DEN,DENVER INTNL ARPT,2015-01-06 04:00,54,33,22,277,0.052,0,
DFW,DALLAS/FT WORTH,2015-01-06 04:00,39,27,14,189,0.057,0,
ATL,ATLANTA INTL ARPT,2015-01-06 05:00,34,23,4,308,0.1,0,
ORD,CHICAGO O HARE,2015-01-06 05:00,6,2,2,261,2.764,0,
LAX,LOS ANGELES INTL,2015-01-06 05:00,66,25,7,8,0.082,0,
DEN,DENVER INTNL ARPT,2015-01-06 05:00,51,33,12,321,0.053,0,
DFW,DALLAS/FT WORTH,2015-01-06 05:00,39,27,15,193,0.058,0,
ORD,CHICAGO O HARE,2015-01-06 06:00,6,2,1,16,0.99,0,
DEN,DENVER INTNL ARPT,2015-01-06 06:00,39,30,13,69,0.063,0,
DFW,DALLAS/FT WORTH,2015-01-06 06:00,38,27,14,193,0.059,0,
LAX,LOS ANGELES INTL,2015-01-06 06:00,,,2,24,0.088,,
ATL,ATLANTA INTL ARPT,2015-01-06 06:00,33,23,3,286,0.109,0,
ATL,ATLANTA INTL ARPT,2015-01-06 07:00,34,22,2,291,0.106,0,
LAX,LOS ANGELES INTL,2015-01-06 07:00,,,9,40,0.087,,
DEN,DENVER INTNL ARPT,2015-01-06 07:00,32,29,14,120,0.102,0,
ORD,CHICAGO O HARE,2015-01-06 07:00,6,2,4,14,0.538,0,
DFW,DALLAS/FT WORTH,2015-01-06 07:00,36,27,11,187,0.065,0,
LAX,LOS ANGELES INTL,2015-01-06 08:00,,,7,15,0.081,,
ORD,CHICAGO O HARE,2015-01-06 08:00,6,2,5,9,0.629,0,
DEN,DENVER INTNL ARPT,2015-01-06 08:00,32,29,14,123,0.093,0,
ATL,ATLANTA INTL ARPT,2015-01-06 08:00,32,23,0,255,0.128,0,
DFW,DALLAS/FT WORTH,2015-01-06 08:00,35,27,10,190,0.065,0,
ATL,ATLANTA INTL ARPT,2015-01-06 09:00,31,24,3,273,0.127,0,
LAX,LOS ANGELES INTL,2015-01-06 09:00,,,7,47,0.082,,
DFW,DALLAS/FT WORTH,2015-01-06 09:00,33,26,2,138,0.064,0,
DEN,DENVER INTNL ARPT,2015-01-06 09:00,32,28,11,109,0.099,0,
ORD,CHICAGO O HARE,2015-01-06 09:00,5,0,6,359,0.417,0,
DEN,DENVER INTNL ARPT,2015-01-06 10:00,32,28,10,127,0.09,0,
ORD,CHICAGO O HARE,2015-01-06 10:00,2,-3,3,340,0.199,0,
LAX,LOS ANGELES INTL,2015-01-06 10:00,,,3,100,0.084,,
ATL,ATLANTA INTL ARPT,2015-01-06 10:00,32,23,3,285,0.125,0,
DFW,DALLAS/FT WORTH,2015-01-06 10:00,36,28,8,172,0.067,0,
ATL,ATLANTA INTL ARPT,2015-01-06 11:00,30,23,3,275,0.122,0,
DFW,DALLAS/FT WORTH,2015-01-06 11:00,33,27,5,168,0.073,0,
DEN,DENVER INTNL ARPT,2015-01-06 11:00,32,27,1,211,0.077,0,
ORD,CHICAGO O HARE,2015-01-06 11:00,1,-3,5,322,0.196,0,
LAX,LOS ANGELES INTL,2015-01-06 11:00,,,4,72,0.08,,
ORD,CHICAGO O HARE,2015-01-06 12:00,0,-4,8,324,0.165,0,
DEN,DENVER INTNL ARPT,2015-01-06 12:00,29,27,12,239,0.177,0,
DFW,DALLAS/FT WORTH,2015-01-06 12:00,32,26,5,161,0.077,0,
ATL,ATLANTA INTL ARPT,2015-01-06 12:00,30,22,6,285,0.105,0,
ATL,ATLANTA INTL ARPT,2015-01-06 13:00,32,22,6,294,0.092,0,
LAX,LOS ANGELES INTL,2015-01-06 13:00,,,3,74,0.079,,
DFW,DALLAS/FT WORTH,2015-01-06 13:00,31,26,2,188,0.09,0,
DEN,DENVER INTNL ARPT,2015-01-06 13:00,30,27,15,250,0.166,0,
ORD,CHICAGO O HARE,2015-01-06 13:00,1,-4,6,305,0.165,0,
ATL,ATLANTA INTL ARPT,2015-01-06 14:00,37,25,7,282,0.089,0,
LAX,LOS ANGELES INTL,2015-01-06 14:00,58,26,5,43,0.078,0,
DEN,DENVER INTNL ARPT,2015-01-06 14:00,30,28,6,237,0.197,0,
ORD,CHICAGO O HARE,2015-01-06 14:00,2,-3,9,311,0.159,0,
DFW,DALLAS/FT WORTH,2015-01-06 14:00,32,27,2,197,0.091,0,
ATL,ATLANTA INTL ARPT,2015-01-06 15:00,42,25,13,282,0.076,0,
ORD,CHICAGO O HARE,2015-01-06 15:00,4,-3,9,300,0.155,0,
DEN,DENVER INTNL ARPT,2015-01-06 15:00,31,28,11,228,0.192,0,
DFW,DALLAS/FT WORTH,2015-01-06 15:00,38,31,4,200,0.099,0,
LAX,LOS ANGELES INTL,2015-01-06 15:00,58,26,9,44,0.084,0,
ORD,CHICAGO O HARE,2015-01-06 16:00,6,-1,8,299,0.123,0,
DFW,DALLAS/FT WORTH,2015-01-06 16:00,45,31,3,302,0.073,0,
ATL,ATLANTA INTL ARPT,2015-01-06 16:00,48,28,10,287,0.071,0,
LAX,LOS ANGELES INTL,2015-01-06 16:00,62,28,3,48,0.092,0,
DEN,DENVER INTNL ARPT,2015-01-06 16:00,41,31,5,207,0.065,0,
ORD,CHICAGO O HARE,2015-01-06 17:00,7,-2,12,285,0.137,0,
LAX,LOS ANGELES INTL,2015-01-06 17:00,70,26,6,31,0.091,0,
DFW,DALLAS/FT WORTH,2015-01-06 17:00,49,33,9,10,0.075,0,
DEN,DENVER INTNL ARPT,2015-01-06 17:00,37,30,6,35,0.144,0,
DFW,DALLAS/FT WORTH,2015-01-06 18:00,51,32,9,16,0.055,0,
ORD,CHICAGO O HARE,2015-01-06 18:00,9,0,14,262,0.156,0,
LAX,LOS ANGELES INTL,2015-01-06 18:00,73,25,8,40,0.081,0,
DEN,DENVER INTNL ARPT,2015-01-06 18:00,41,31,4,319,0.128,0,
LAX,LOS ANGELES INTL,2015-01-06 19:00,77,26,6,38,0.08,0,
DEN,DENVER INTNL ARPT,2015-01-06 19:00,42,33,5,95,0.155,0,
DFW,DALLAS/FT WORTH,2015-01-06 19:00,52,33,7,15,0.076,0,
ORD,CHICAGO O HARE,2015-01-06 19:00,10,1,13,271,0.138,0,
LAX,LOS ANGELES INTL,2015-01-06 20:00,80,28,4,353,0.096,0,
ORD,CHICAGO O HARE,2015-01-06 20:00,10,1,14,267,0.147,0,
DEN,DENVER INTNL ARPT,2015-01-06 20:00,48,35,4,79,0.1,0,
DFW,DALLAS/FT WORTH,2015-01-06 20:00,54,33,5,358,0.073,0,
DEN,DENVER INTNL ARPT,2015-01-06 21:00,49,36,2,40,0.096,0,
DFW,DALLAS/FT WORTH,2015-01-06 21:00,57,33,5,7,0.06,0,
ORD,CHICAGO O HARE,2015-01-06 21:00,9,1,16,261,0.177,0,
LAX,LOS ANGELES INTL,2015-01-06 21:00,81,24,4,56,0.079,0,
LAX,LOS ANGELES INTL,2015-01-06 22:00,83,24,4,52,0.081,0,
ORD,CHICAGO O HARE,2015-01-06 22:00,7,-1,16,267,0.2,0,
DEN,DENVER INTNL ARPT,2015-01-06 22:00,46,34,4,8,0.116,0,
DFW,DALLAS/FT WORTH,2015-01-06 22:00,57,34,5,37,0.055,0,
DEN,DENVER INTNL ARPT,2015-01-06 23:00,43,34,5,232,0.114,0,
LAX,LOS ANGELES INTL,2015-01-06 23:00,73,41,9,264,0.085,0,
DFW,DALLAS/FT WORTH,2015-01-06 23:00,54,34,5,23,0.055,0,
ORD,CHICAGO O HARE,2015-01-06 23:00,6,-1,14,265,0.161,0,
DEN,DENVER INTNL ARPT,2015-01-07 00:00,41,32,4,242,0.109,0,
DFW,DALLAS/FT WORTH,2015-01-07 00:00,49,34,7,349,0.075,0,
ORD,CHICAGO O HARE,2015-01-07 00:00,7,0,18,279,0.243,0,
LAX,LOS ANGELES INTL,2015-01-07 00:00,70,45,7,264,0.082,0,
LAX,LOS ANGELES INTL,2015-01-07 01:00,69,40,5,303,0.078,0,
ORD,CHICAGO O HARE,2015-01-07 01:00,8,-1,14,275,0.136,0,
DEN,DENVER INTNL ARPT,2015-01-07 01:00,47,31,8,272,0.073,0,
DFW,DALLAS/FT WORTH,2015-01-07 01:00,47,33,5,6,0.078,0,
LAX,LOS ANGELES INTL,2015-01-07 02:00,68,39,3,342,0.08,0,
ORD,CHICAGO O HARE,2015-01-07 02:00,8,-1,14,269,0.123,0,
DFW,DALLAS/FT WORTH,2015-01-07 02:00,46,34,6,343,0.083,0,
DEN,DENVER INTNL ARPT,2015-01-07 02:00,47,30,9,268,0.064,0,
DEN,DENVER INTNL ARPT,2015-01-07 03:00,46,30,8,281,0.059,0,
DFW,DALLAS/FT WORTH,2015-01-07 03:00,41,33,8,337,0.091,0,
LAX,LOS ANGELES INTL,2015-01-07 03:00,67,40,3,299,0.089,0,
ORD,CHICAGO O HARE,2015-01-07 03:00,9,1,18,270,0.178,0,
ATL,ATLANTA INTL ARPT,2015-01-07 03:00,42,27,8,313,0.062,0,
ATL,ATLANTA INTL ARPT,2015-01-07 04:00,41,27,9,311,0.069,0,
DFW,DALLAS/FT WORTH,2015-01-07 04:00,41,32,9,354,0.082,0,
ORD,CHICAGO O HARE,2015-01-07 04:00,9,0,16,283,0.128,0,
LAX,LOS ANGELES INTL,2015-01-07 04:00,68,36,5,11,0.098,0,
DEN,DENVER INTNL ARPT,2015-01-07 04:00,44,30,6,265,0.063,0,
ATL,ATLANTA INTL ARPT,2015-01-07 05:00,40,27,9,317,0.069,0,
DEN,DENVER INTNL ARPT,2015-01-07 05:00,29,28,23,64,3.746,0,
DFW,DALLAS/FT WORTH,2015-01-07 05:00,41,30,8,10,0.055,0,
LAX,LOS ANGELES INTL,2015-01-07 05:00,68,34,3,4,0.109,0,
ORD,CHICAGO O HARE,2015-01-07 05:00,7,-1,15,292,0.173,0,
ORD,CHICAGO O HARE,2015-01-07 06:00,6,-3,16,298,0.207,0,
ATL,ATLANTA INTL ARPT,2015-01-07 06:00,39,26,9,320,0.067,0,
DFW,DALLAS/FT WORTH,2015-01-07 06:00,40,28,10,9,0.053,0,
LAX,LOS ANGELES INTL,2015-01-07 06:00,65,32,5,14,0.09,0,
DEN,DENVER INTNL ARPT,2015-01-07 06:00,22,20,23,80,0.33,0,
LAX,LOS ANGELES INTL,2015-01-07 07:00,65,32,3,54,0.088,0,
ORD,CHICAGO O HARE,2015-01-07 07:00,4,-4,14,306,0.122,0,
DEN,DENVER INTNL ARPT,2015-01-07 07:00,20,18,12,55,0.288,0,
ATL,ATLANTA INTL ARPT,2015-01-07 07:00,38,25,7,303,0.07,0,
DFW,DALLAS/FT WORTH,2015-01-07 07:00,37,27,6,6,0.053,0,
